Genetic Cores: 50, Tasks: 200
N;Best;Avg
430;2154;2515.73
431;2154;2511.94
432;2154;2516.7
433;2152;2517
434;2152;2519.35
435;2152;2520.1
436;2152;2513.86
437;2152;2514.66
438;2152;2513.03
439;2152;2519.81
440;2152;2513.51
441;2152;2508.53
442;2152;2512.4
443;2152;2514.96
444;2152;2519.67
445;2152;2513.5
446;2152;2514.81
447;2152;2514.58
448;2152;2510.71
449;2152;2514.69
450;2152;2506.04
451;2152;2512.21
452;2152;2512.04
453;2152;2508.59
454;2152;2520.58
455;2152;2515.28
456;2152;2515.8
457;2152;2510.28
458;2152;2512.81
459;2152;2508.35
460;2152;2508.2
461;2152;2508.98
462;2152;2507.47
463;2152;2510.48
464;2152;2521.33
465;2152;2509.34
466;2152;2505.63
467;2152;2502.03
468;2152;2503.6
469;2152;2509.97
470;2152;2505.75
471;2152;2506.81
472;2152;2507.53
473;2152;2506.84
474;2152;2502.9
475;2152;2513.59
476;2152;2507.49
477;2152;2511.41
478;2152;2502.32
479;2152;2508.76
480;2152;2508.46
481;2152;2508.24
482;2152;2507.18
483;2152;2509.94
484;2152;2506.16
485;2152;2514.18
486;2152;2510.42
487;2152;2512.51
488;2152;2507.7
489;2152;2507.21
490;2152;2504.04
491;2152;2506.47
492;2152;2503.08
493;2152;2505.91
494;2152;2505.78
495;2152;2509.23
496;2152;2505.64
497;2152;2506.64
498;2152;2500.62
499;2152;2499.85

